Player 1 Name,Player 2 Name,Player 1 Score,Player 2 Score,Winner,Score Difference,Number of Moves
random,mcts_9x9,28,32.5,White,4.5,59
random,mcts_9x9,18,62.5,White,44.5,93
random,mcts_9x9,13,18.5,White,5.5,29
random,mcts_9x9,32,39.5,White,7.5,69
random,mcts_9x9,21,26.5,White,5.5,43
random,mcts_9x9,24,33.5,White,9.5,53
random,mcts_9x9,5,11.5,White,6.5,13
random,mcts_9x9,7,13.5,White,6.5,17
random,mcts_9x9,33,52.5,White,19.5,93
random,mcts_9x9,29,34.5,White,5.5,59
random,mcts_9x9,40,44.5,White,4.5,119
random,mcts_9x9,36,46.5,White,10.5,85
